tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Harmony China Open Suzhou 2013,2013-08-14,NONAKA Yuki,WU Yue,4,0,"11,11,11,11|3,5,5,5",,GRAND_SLAM,WS,119,Qualification,NONAKA Yuki (JPN),WU Yue (USA)
World Tour Harmony China Open Suzhou 2013,2013-08-14,JEON Jihee,KIM Hye Song,4,2,"11,11,6,11,7,12|6,6,11,5,11,10",R32,GRAND_SLAM,WS,119,Main Draw,JEON Jihee (KOR),KIM Hye Song (PRK)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Meng,KIM Jong,4,2,"12,11,10,11,5,12|10,5,12,9,11,10",R32,GRAND_SLAM,WS,119,Main Draw,CHEN Meng (CHN),KIM Jong (PRK)
World Tour Harmony China Open Suzhou 2013,2013-08-14,WU Yang,YOON Sunae,4,2,"9,11,11,9,11,11|11,5,5,11,6,4",R32,GRAND_SLAM,WS,119,Main Draw,WU Yang (CHN),YOON Sunae (KOR)
World Tour Harmony China Open Suzhou 2013,2013-08-14,WAKAMIYA Misako,SUH Hyo Won,4,3,"10,16,3,15,11,11,13|12,18,11,13,4,5,11",R32,GRAND_SLAM,WS,119,Main Draw,WAKAMIYA Misako (JPN),SUH Hyo Won (KOR)
World Tour Harmony China Open Suzhou 2013,2013-08-14,RI Mi Gyong,RI Myong Sun,4,1,"11,9,11,13,11|2,11,7,11,6",R32,GRAND_SLAM,WS,119,Main Draw,RI Mi Gyong (PRK),RI Myong Sun (PRK)
World Tour Harmony China Open Suzhou 2013,2013-08-14,FENG Tianwei,HIRANO Sayaka,4,0,"11,11,11,11|7,5,5,5",R32,GRAND_SLAM,WS,119,Main Draw,FENG Tianwei (SGP),HIRANO Sayaka (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,LIU Shiwen,LEE I-Chen,4,0,"11,11,11,11|5,8,5,8",R16,GRAND_SLAM,WS,119,Main Draw,LIU Shiwen (CHN),LEE I-Chen (TPE)
World Tour Harmony China Open Suzhou 2013,2013-08-14,ISHIKAWA Kasumi,CHEN Szu-Yu,4,3,"11,11,11,10,5,3,11|8,4,9,12,11,11,9",R16,GRAND_SLAM,WS,119,Main Draw,ISHIKAWA Kasumi (JPN),CHEN Szu-Yu (TPE)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHENG I-Ching,FUKUHARA Ai,4,3,"11,6,11,13,9,6,11|9,11,8,11,11,11,7",R16,GRAND_SLAM,WS,119,Main Draw,CHENG I-Ching (TPE),FUKUHARA Ai (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,ZHU Yuling,YANG Ha Eun,4,1,"11,11,7,11,11|6,6,11,6,7",R16,GRAND_SLAM,WS,119,Main Draw,ZHU Yuling (MAC),YANG Ha Eun (KOR)
World Tour Harmony China Open Suzhou 2013,2013-08-14,ZHAO Yan,HAMAMOTO Yui,4,3,"10,8,11,11,11,9,11|12,11,9,9,8,11,9",R16,GRAND_SLAM,WS,119,Main Draw,ZHAO Yan (CHN),HAMAMOTO Yui (AUT)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Meng,JEON Jihee,4,1,"11,11,7,11,14|8,7,11,5,12",R16,GRAND_SLAM,WS,119,Main Draw,CHEN Meng (CHN),JEON Jihee (KOR)
World Tour Harmony China Open Suzhou 2013,2013-08-14,WU Yang,WAKAMIYA Misako,4,2,"10,11,11,9,11,16|12,7,9,11,7,14",R16,GRAND_SLAM,WS,119,Main Draw,WU Yang (CHN),WAKAMIYA Misako (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,FENG Tianwei,RI Mi Gyong,4,0,"11,11,11,11|7,8,5,8",R16,GRAND_SLAM,WS,119,Main Draw,FENG Tianwei (SGP),RI Mi Gyong (PRK)
World Tour Harmony China Open Suzhou 2013,2013-08-14,LIU Shiwen,ISHIKAWA Kasumi,4,0,"11,11,11,11|9,8,3,2",QF,GRAND_SLAM,WS,119,Main Draw,LIU Shiwen (CHN),ISHIKAWA Kasumi (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHENG I-Ching,ZHU Yuling,4,2,"11,11,3,11,5,13|6,5,11,9,11,11",QF,GRAND_SLAM,WS,119,Main Draw,CHENG I-Ching (TPE),ZHU Yuling (MAC)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Meng,ZHAO Yan,4,0,"11,11,11,11|7,6,6,7",QF,GRAND_SLAM,WS,119,Main Draw,CHEN Meng (CHN),ZHAO Yan (CHN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,WU Yang,FENG Tianwei,4,0,"13,11,11,11|11,4,8,3",QF,GRAND_SLAM,WS,119,Main Draw,WU Yang (CHN),FENG Tianwei (SGP)
World Tour Harmony China Open Suzhou 2013,2013-08-14,LIU Shiwen,CHENG I-Ching,4,0,"11,11,11,11|7,3,9,1",SF,GRAND_SLAM,WS,119,Main Draw,LIU Shiwen (CHN),CHENG I-Ching (TPE)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Meng,LIU Shiwen,4,1,"9,11,2|11,3,0",F,GRAND_SLAM,WS,119,Main Draw,CHEN Meng (CHN),LIU Shiwen (CHN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Feng,CHOE Il,3,1,"10,11,11,26|12,9,8,24",R16,GRAND_SLAM,U21MS,119,Main Draw,CHEN Feng (SGP),CHOE Il (PRK)
World Tour Harmony China Open Suzhou 2013,2013-08-14,WU Zhikang,PAK Sin Hyok,3,2,"6,11,9,11,11|11,8,11,7,3",R16,GRAND_SLAM,U21MS,119,Main Draw,WU Zhikang (SGP),PAK Sin Hyok (PRK)
World Tour Harmony China Open Suzhou 2013,2013-08-14,RI Kwang Won,MACHI Asuka,3,2,"10,14,11,8,11|12,12,8,11,6",R16,GRAND_SLAM,U21MS,119,Main Draw,RI Kwang Won (PRK),MACHI Asuka (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Masataka,PANG Xue Jie,3,1,"10,11,12,11|12,8,10,8",R16,GRAND_SLAM,U21MS,119,Main Draw,MORIZONO Masataka (JPN),PANG Xue Jie (SGP)
World Tour Harmony China Open Suzhou 2013,2013-08-14,YOSHIMURA Maharu,XIN Zhaoxu,3,2,"11,11,9,5,11|6,9,11,11,4",R16,GRAND_SLAM,U21MS,119,Main Draw,YOSHIMURA Maharu (JPN),XIN Zhaoxu (SGP)
World Tour Harmony China Open Suzhou 2013,2013-08-14,SAKAI Asuka,KIM Donghyun,3,1,"11,7,11,11|6,11,5,3",R16,GRAND_SLAM,U21MS,119,Main Draw,SAKAI Asuka (JPN),KIM Donghyun (KOR)
World Tour Harmony China Open Suzhou 2013,2013-08-14,HUNG Tzu-Hsiang,YU Jiaqing,3,2,"11,10,11,5,11|7,12,3,11,7",R16,GRAND_SLAM,U21MS,119,Main Draw,HUNG Tzu-Hsiang (TPE),YU Jiaqing (SGP)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MATSUDA Naoki,KANG Dongsoo,3,2,"19,11,8,6,11|17,8,11,11,9",R16,GRAND_SLAM,U21MS,119,Main Draw,MATSUDA Naoki (JPN),KANG Dongsoo (KOR)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Feng,WU Zhikang,4,0,"11,11,11,11|8,5,8,8",QF,GRAND_SLAM,U21MS,119,Main Draw,CHEN Feng (SGP),WU Zhikang (SGP)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Masataka,RI Kwang Won,4,0,"11,11,11,12|5,7,7,10",QF,GRAND_SLAM,U21MS,119,Main Draw,MORIZONO Masataka (JPN),RI Kwang Won (PRK)
World Tour Harmony China Open Suzhou 2013,2013-08-14,YOSHIMURA Maharu,SAKAI Asuka,4,0,"11,11,11,11|8,8,7,9",QF,GRAND_SLAM,U21MS,119,Main Draw,YOSHIMURA Maharu (JPN),SAKAI Asuka (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,HUNG Tzu-Hsiang,MATSUDA Naoki,4,1,"11,11,8,14,11|9,3,11,12,9",QF,GRAND_SLAM,U21MS,119,Main Draw,HUNG Tzu-Hsiang (TPE),MATSUDA Naoki (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Masataka,CHEN Feng,4,3,"6,8,12,11,7,11,12|11,11,10,7,11,8,10",SF,GRAND_SLAM,U21MS,119,Main Draw,MORIZONO Masataka (JPN),CHEN Feng (SGP)
World Tour Harmony China Open Suzhou 2013,2013-08-14,HUNG Tzu-Hsiang,YOSHIMURA Maharu,4,3,"11,9,11,11,11,6,12|2,11,3,6,13,11,10",SF,GRAND_SLAM,U21MS,119,Main Draw,HUNG Tzu-Hsiang (TPE),YOSHIMURA Maharu (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Masataka,HUNG Tzu-Hsiang,4,1,"11,12,11,9,11|6,10,9,11,6",F,GRAND_SLAM,U21MS,119,Main Draw,MORIZONO Masataka (JPN),HUNG Tzu-Hsiang (TPE)
World Tour Harmony China Open Suzhou 2013,2013-08-14,RI Myong Sun,HIRANO Miu,3,2,"6,12,7,11,14|11,10,11,7,12",R16,GRAND_SLAM,U21WS,119,Main Draw,RI Myong Sun (PRK),HIRANO Miu (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Song I,MATSUDAIRA Shiho,3,0,"11,11,11|9,9,7",R16,GRAND_SLAM,U21WS,119,Main Draw,KIM Song I (PRK),MATSUDAIRA Shiho (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHENG Hsien-Tzu,LIN Ye,3,1,"11,11,11,12|8,13,9,10",R16,GRAND_SLAM,U21WS,119,Main Draw,CHENG Hsien-Tzu (TPE),LIN Ye (CAN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,YOO Eunchong,NG Wing Nam,3,1,"11,9,11,11|7,11,8,7",R16,GRAND_SLAM,U21WS,119,Main Draw,YOO Eunchong (KOR),NG Wing Nam (HKG)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Szu-Yu,MAEDA Miyu,3,1,"6,11,11,11|11,4,9,2",R16,GRAND_SLAM,U21WS,119,Main Draw,CHEN Szu-Yu (TPE),MAEDA Miyu (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,ZHOU Yihan,KATO Miyu,3,2,"11,11,11,7,13|6,8,13,11,11",R16,GRAND_SLAM,U21WS,119,Main Draw,ZHOU Yihan (SGP),KATO Miyu (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Misaki,HUANG Hsin,3,0,"11,11,11|8,9,9",R16,GRAND_SLAM,U21WS,119,Main Draw,MORIZONO Misaki (JPN),HUANG Hsin (TPE)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHENG I-Ching,MATSUZAWA Marina,3,1,"9,11,11,11|11,9,9,5",R16,GRAND_SLAM,U21WS,119,Main Draw,CHENG I-Ching (TPE),MATSUZAWA Marina (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Song I,RI Myong Sun,4,3,"11,8,12,6,11,7,15|5,11,10,11,5,11,13",QF,GRAND_SLAM,U21WS,119,Main Draw,KIM Song I (PRK),RI Myong Sun (PRK)
World Tour Harmony China Open Suzhou 2013,2013-08-14,YOO Eunchong,CHENG Hsien-Tzu,4,1,"11,6,12,11,11|9,11,10,4,6",QF,GRAND_SLAM,U21WS,119,Main Draw,YOO Eunchong (KOR),CHENG Hsien-Tzu (TPE)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Szu-Yu,ZHOU Yihan,4,1,"11,12,5,11,11|9,10,11,4,6",QF,GRAND_SLAM,U21WS,119,Main Draw,CHEN Szu-Yu (TPE),ZHOU Yihan (SGP)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Misaki,CHENG I-Ching,4,1,"11,12,11,9,12|7,10,2,11,10",QF,GRAND_SLAM,U21WS,119,Main Draw,MORIZONO Misaki (JPN),CHENG I-Ching (TPE)
World Tour Harmony China Open Suzhou 2013,2013-08-14,YOO Eunchong,KIM Song I,4,0,"11,11,11,11|6,9,8,7",SF,GRAND_SLAM,U21WS,119,Main Draw,YOO Eunchong (KOR),KIM Song I (PRK)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Misaki,CHEN Szu-Yu,4,1,"11,5,11,11,13|5,11,7,8,11",SF,GRAND_SLAM,U21WS,119,Main Draw,MORIZONO Misaki (JPN),CHEN Szu-Yu (TPE)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Misaki,YOO Eunchong,4,3,"10,11,7,11,13,7,11|12,4,11,9,11,11,8",F,GRAND_SLAM,U21WS,119,Main Draw,MORIZONO Misaki (JPN),YOO Eunchong (KOR)
World Tour Harmony China Open Suzhou 2013,2013-08-14,WU Yang/ZHAO Yan,HSIUNG Nai-I/LEE I-Chen,3,2,"11,5,5,12,11|4,11,11,10,8",QR16,GRAND_SLAM,WD,119,Qualification,WU Yang (CHN) / ZHAO Yan (CHN),HSIUNG Nai-I (TPE) / LEE I-Chen (TPE)
World Tour Harmony China Open Suzhou 2013,2013-08-14,TANG Peng/WONG Chun Ting,OVTCHAROV Dimitrij/WANG Hao,3,1,"13,5,11,11|11,11,4,8",R16,GRAND_SLAM,MD,119,Main Draw,TANG Peng (HKG) / WONG Chun Ting (HKG),OVTCHAROV Dimitrij (GER) / WANG Hao (CHN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MA Long/XU Xin,MA Liang/PANG Xue Jie,3,0,"11,11,11|4,5,6",R16,GRAND_SLAM,MD,119,Main Draw,MA Long (CHN) / XU Xin (CHN),MA Liang (SGP) / PANG Xue Jie (SGP)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MA Long/XU Xin,YANG Zi/ZHAN Jian,3,0,"11,11,11|6,7,8",QF,GRAND_SLAM,MD,119,Main Draw,MA Long (CHN) / XU Xin (CHN),YANG Zi (SGP) / ZHAN Jian (SGP)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MA Long/XU Xin,JEOUNG Youngsik/KIM Minseok,3,0,"11,11,11|5,3,5",SF,GRAND_SLAM,MD,119,Main Draw,MA Long (CHN) / XU Xin (CHN),JEOUNG Youngsik (KOR) / KIM Minseok (KOR)
World Tour Harmony China Open Suzhou 2013,2013-08-14,LIU Shiwen/ZHANG Qiang,JEON Jihee/SEOK Hajung,3,2,"11,11,7,8,11|4,7,11,11,7",R16,GRAND_SLAM,WD,119,Main Draw,LIU Shiwen (CHN) / ZHANG Qiang (CHN),JEON Jihee (KOR) / SEOK Hajung (KOR)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Meng/ZHU Yuling,WU Yang/ZHAO Yan,3,0,"12,14,11|10,12,7",QF,GRAND_SLAM,WD,119,Main Draw,CHEN Meng (CHN) / ZHU Yuling (MAC),WU Yang (CHN) / ZHAO Yan (CHN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,UEDA Jin/YOSHIMURA Maharu,MAK King Ho/TSE Ka Chun,3,0,"11,11,13|3,5,11",QR16,GRAND_SLAM,MD,119,Qualification,UEDA Jin (JPN) / YOSHIMURA Maharu (JPN),MAK King Ho (HKG) / TSE Ka Chun (HKG)
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Song I/RI Myong Sun,LI Ching Wan/SOO Wai Yam,3,1,"6,11,12,11|11,9,10,4",QR16,GRAND_SLAM,WD,119,Qualification,KIM Song I (PRK) / RI Myong Sun (PRK),LI Ching Wan (HKG) / SOO Wai Yam (HKG)
World Tour Harmony China Open Suzhou 2013,2013-08-14,FUKUHARA Ai/WAKAMIYA Misako,NG Wing Nam/YU Kwok See,3,0,"11,11,11|9,9,3",R16,GRAND_SLAM,WD,119,Main Draw,FUKUHARA Ai (JPN) / WAKAMIYA Misako (JPN),NG Wing Nam (HKG) / YU Kwok See (HKG)
World Tour Harmony China Open Suzhou 2013,2013-08-14,YANG Zi/ZHAN Jian,MORIZONO Masataka/SAMBE Kohei,3,2,"11,11,9,7,11|9,7,11,11,5",R16,GRAND_SLAM,MD,119,Main Draw,YANG Zi (SGP) / ZHAN Jian (SGP),MORIZONO Masataka (JPN) / SAMBE Kohei (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,GAO Ning/LI Hu,UEDA Jin/YOSHIMURA Maharu,3,1,"8,11,11,13|11,4,9,11",R16,GRAND_SLAM,MD,119,Main Draw,GAO Ning (SGP) / LI Hu (SGP),UEDA Jin (JPN) / YOSHIMURA Maharu (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MA Long/XU Xin,MATSUDAIRA Kenta/NIWA Koki,3,1,"7,11,11,11|11,4,7,5",F,GRAND_SLAM,MD,119,Main Draw,MA Long (CHN) / XU Xin (CHN),MATSUDAIRA Kenta (JPN) / NIWA Koki (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,WU Yang/ZHAO Yan,HIRANO Sayaka/ISHIKAWA Kasumi,3,1,"11,6,11,11|7,11,9,9",R16,GRAND_SLAM,WD,119,Main Draw,WU Yang (CHN) / ZHAO Yan (CHN),HIRANO Sayaka (JPN) / ISHIKAWA Kasumi (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Meng/ZHU Yuling,FUKUHARA Ai/WAKAMIYA Misako,3,0,"12,12,11|10,10,7",SF,GRAND_SLAM,WD,119,Main Draw,CHEN Meng (CHN) / ZHU Yuling (MAC),FUKUHARA Ai (JPN) / WAKAMIYA Misako (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHO Eonrae/KIM Donghyun,KIM Hyok Bong/PAK Sin Hyok,3,2,"9,11,11,8,18|11,7,6,11,16",QR16,GRAND_SLAM,MD,119,Qualification,CHO Eonrae (KOR) / KIM Donghyun (KOR),KIM Hyok Bong (PRK) / PAK Sin Hyok (PRK)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Masataka/SAMBE Kohei,CHEN Qi/LEE Sang Su,3,2,"11,11,3,3,13|7,8,11,11,11",QR16,GRAND_SLAM,MD,119,Qualification,MORIZONO Masataka (JPN) / SAMBE Kohei (JPN),CHEN Qi (CHN) / LEE Sang Su (KOR)
World Tour Harmony China Open Suzhou 2013,2013-08-14,LIN Ye/ZHOU Yihan,JO Yujin/SONG Maeum,3,2,"11,11,12,7,15|13,6,10,11,13",QR16,GRAND_SLAM,WD,119,Qualification,LIN Ye (CAN) / ZHOU Yihan (SGP),JO Yujin (KOR) / SONG Maeum (KOR)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MATSUDAIRA Kenta/NIWA Koki,CHO Eonrae/KIM Donghyun,3,0,"14,11,11|12,8,5",R16,GRAND_SLAM,MD,119,Main Draw,MATSUDAIRA Kenta (JPN) / NIWA Koki (JPN),CHO Eonrae (KOR) / KIM Donghyun (KOR)
World Tour Harmony China Open Suzhou 2013,2013-08-14,JEOUNG Youngsik/KIM Minseok,LIU Yi/YAN An,3,2,"8,3,11,11,11|11,11,6,8,8",R16,GRAND_SLAM,MD,119,Main Draw,JEOUNG Youngsik (KOR) / KIM Minseok (KOR),LIU Yi (CHN) / YAN An (CHN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,JEOUNG Youngsik/KIM Minseok,GAO Ning/LI Hu,3,1,"9,11,15,11|11,7,13,7",QF,GRAND_SLAM,MD,119,Main Draw,JEOUNG Youngsik (KOR) / KIM Minseok (KOR),GAO Ning (SGP) / LI Hu (SGP)
World Tour Harmony China Open Suzhou 2013,2013-08-14,PARK Youngsook/YANG Ha Eun,LIN Ye/ZHOU Yihan,3,1,"11,11,11,12|7,13,4,10",R16,GRAND_SLAM,WD,119,Main Draw,PARK Youngsook (KOR) / YANG Ha Eun (KOR),LIN Ye (CAN) / ZHOU Yihan (SGP)
World Tour Harmony China Open Suzhou 2013,2013-08-14,FUKUHARA Ai/WAKAMIYA Misako,PARK Youngsook/YANG Ha Eun,3,0,"16,11,11|14,7,6",QF,GRAND_SLAM,WD,119,Main Draw,FUKUHARA Ai (JPN) / WAKAMIYA Misako (JPN),PARK Youngsook (KOR) / YANG Ha Eun (KOR)
World Tour Harmony China Open Suzhou 2013,2013-08-14,KANG Wi Hun/RI Kwang Won,HUNG Tzu-Hsiang/WU Chih-Chi,3,2,"10,11,8,11,11|12,4,11,8,1",QR16,GRAND_SLAM,MD,119,Qualification,KANG Wi Hun (PRK) / RI Kwang Won (PRK),HUNG Tzu-Hsiang (TPE) / WU Chih-Chi (TPE)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MAEDA Miyu/MATSUDAIRA Shiho,LI Isabelle Siyun/RI Mi Gyong,3,2,"7,6,11,11,11|11,11,5,8,8",QR16,GRAND_SLAM,WD,119,Qualification,MAEDA Miyu (JPN) / MATSUDAIRA Shiho (JPN),LI Isabelle Siyun (SGP) / RI Mi Gyong (PRK)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Meng/ZHU Yuling,KIM Song I/RI Myong Sun,3,2,"11,10,11,12,11|9,12,2,14,4",R16,GRAND_SLAM,WD,119,Main Draw,CHEN Meng (CHN) / ZHU Yuling (MAC),KIM Song I (PRK) / RI Myong Sun (PRK)
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Hye Song/KIM Jong,FENG Tianwei/YU Mengyu,3,2,"11,14,8,9,11|7,12,11,11,8",QF,GRAND_SLAM,WD,119,Main Draw,KIM Hye Song (PRK) / KIM Jong (PRK),FENG Tianwei (SGP) / YU Mengyu (SGP)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Meng/ZHU Yuling,KIM Hye Song/KIM Jong,3,1,"11,11,9,11|5,9,11,9",F,GRAND_SLAM,WD,119,Main Draw,CHEN Meng (CHN) / ZHU Yuling (MAC),KIM Hye Song (PRK) / KIM Jong (PRK)
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Hye Song/KIM Jong,ERMAKOVA Irina/SAMARA Elizabeta,3,0,"11,11,11|4,2,5",R16,GRAND_SLAM,WD,119,Main Draw,KIM Hye Song (PRK) / KIM Jong (PRK),ERMAKOVA Irina (RUS) / SAMARA Elizabeta (ROU)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MA Liang/PANG Xue Jie,BRETON Arthur/GREEN Wally,3,0,"11,11,11|5,4,1",QR16,GRAND_SLAM,MD,119,Qualification,MA Liang (SGP) / PANG Xue Jie (SGP),BRETON Arthur (FRA) / GREEN Wally (USA)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHIANG Hung-Chieh/HUANG Sheng-Sheng,KANG Wi Hun/RI Kwang Won,3,1,"11,14,11,11|4,16,6,7",R16,GRAND_SLAM,MD,119,Main Draw,CHIANG Hung-Chieh (TPE) / HUANG Sheng-Sheng (TPE),KANG Wi Hun (PRK) / RI Kwang Won (PRK)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Chien-An/CHUANG Chih-Yuan,TANG Peng/WONG Chun Ting,3,1,"11,6,11,12|7,11,4,10",QF,GRAND_SLAM,MD,119,Main Draw,CHEN Chien-An (TPE) / CHUANG Chih-Yuan (TPE),TANG Peng (HKG) / WONG Chun Ting (HKG)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MATSUDAIRA Kenta/NIWA Koki,CHIANG Hung-Chieh/HUANG Sheng-Sheng,3,2,"8,11,11,7,11|11,6,6,11,8",QF,GRAND_SLAM,MD,119,Main Draw,MATSUDAIRA Kenta (JPN) / NIWA Koki (JPN),CHIANG Hung-Chieh (TPE) / HUANG Sheng-Sheng (TPE)
World Tour Harmony China Open Suzhou 2013,2013-08-14,MATSUDAIRA Kenta/NIWA Koki,CHEN Chien-An/CHUANG Chih-Yuan,3,2,"9,11,11,13,11|11,5,7,15,5",SF,GRAND_SLAM,MD,119,Main Draw,MATSUDAIRA Kenta (JPN) / NIWA Koki (JPN),CHEN Chien-An (TPE) / CHUANG Chih-Yuan (TPE)
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHENG I-Ching/HUANG Yi-Hua,MAEDA Miyu/MATSUDAIRA Shiho,3,0,"16,11,11|14,4,5",R16,GRAND_SLAM,WD,119,Main Draw,CHENG I-Ching (TPE) / HUANG Yi-Hua (TPE),MAEDA Miyu (JPN) / MATSUDAIRA Shiho (JPN)
World Tour Harmony China Open Suzhou 2013,2013-08-14,FENG Tianwei/YU Mengyu,CHEN Szu-Yu/CHENG Hsien-Tzu,3,2,"11,11,6,11,11|13,6,11,9,7",R16,GRAND_SLAM,WD,119,Main Draw,FENG Tianwei (SGP) / YU Mengyu (SGP),CHEN Szu-Yu (TPE) / CHENG Hsien-Tzu (TPE)
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Hye Song/KIM Jong,CHENG I-Ching/HUANG Yi-Hua,3,1,"6,11,11,11|11,9,4,6",SF,GRAND_SLAM,WD,119,Main Draw,KIM Hye Song (PRK) / KIM Jong (PRK),CHENG I-Ching (TPE) / HUANG Yi-Hua (TPE)
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Hye Song/KIM Jong,SHAO Jieni/WU Yue,3,0,"11,11,11|5,5,8",QR16,GRAND_SLAM,WD,119,Qualification,KIM Hye Song (PRK) / KIM Jong (PRK),SHAO Jieni (POR) / WU Yue (USA)
